dataset,instance,method,cost,lb,gap,time_s
Lee_random,R061608_0570_002.txt,ZeroShot,68204.9,62080.0,9.87,11.456
Lee_random,R061608_0570_002.txt,Lin2015,85273.1,62080.0,37.36,6.48
Lee_random,R061608_0570_002.txt,Kim2016,100487.2,62080.0,61.87,5.857
Lee_random,R061608_0570_002.txt,Leveling,79614.4,62080.0,28.24,12.692
Lee_random,R061608_0570_002.txt,Durasevic2025,98528.1,62080.0,58.71,6.789
Lee_random,R061608_0570_002.txt,NearestStack,138601.1,62080.0,123.26,4.357
Lee_random,R061608_0570_002.txt,LowestHeight,137599.5,62080.0,121.65,11.277
Lee_random,R061608_0570_003.txt,OriginalModel,68339.8,62551.8,9.25,21.364
Lee_random,R061608_0570_003.txt,ZeroShot,67702.6,62551.8,8.23,14.103
Lee_random,R061608_0570_003.txt,Lin2015,82317.3,62551.8,31.6,9.761
Lee_random,R061608_0570_003.txt,Kim2016,96753.4,62551.8,54.68,8.372
Lee_random,R061608_0570_003.txt,Leveling,79145.4,62551.8,26.53,18.486
Lee_random,R061608_0570_003.txt,Durasevic2025,96294.4,62551.8,53.94,10.292
Lee_random,R061608_0570_003.txt,NearestStack,140435.0,62551.8,124.51,4.055
Lee_random,R061608_0570_003.txt,LowestHeight,132200.6,62551.8,111.35,1.032
Lee_random,R061608_0570_004.txt,OriginalModel,69224.8,62960.8,9.95,6.82
Lee_random,R061608_0570_004.txt,ZeroShot,68556.1,62960.8,8.89,8.509
Lee_random,R061608_0570_004.txt,Lin2015,83512.9,62960.8,32.64,4.451
Lee_random,R061608_0570_004.txt,Kim2016,99950.9,62960.8,58.75,4.263
Lee_random,R061608_0570_004.txt,Leveling,82734.5,62960.8,31.41,9.956
Lee_random,R061608_0570_004.txt,Durasevic2025,97948.9,62960.8,55.57,5.129
Lee_random,R061608_0570_004.txt,NearestStack,130797.9,62960.8,107.74,2.204
Lee_random,R061608_0570_004.txt,LowestHeight,136435.9,62960.8,116.7,1.73
Lee_random,R061608_0570_005.txt,OriginalModel,70186.4,63951.0,9.75,7.531
Lee_random,R061608_0570_005.txt,ZeroShot,69358.7,63951.0,8.46,7.407
Lee_random,R061608_0570_005.txt,Lin2015,83853.8,63951.0,31.12,4.565
Lee_random,R061608_0570_005.txt,Kim2016,99856.9,63951.0,56.15,3.95
Lee_random,R061608_0570_005.txt,Leveling,81891.0,63951.0,28.05,9.235
Lee_random,R061608_0570_005.txt,Durasevic2025,98305.6,63951.0,53.72,4.885
