dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,U041608_0380_002.txt,Leveling,50247.3,42509.7,18.2,8.453
Lee_upsidedown,U041608_0380_002.txt,Durasevic2025,72825.6,42509.7,71.32,6.2
Lee_upsidedown,U041608_0380_002.txt,NearestStack,84447.7,42509.7,98.66,2.794
Lee_upsidedown,U041608_0380_002.txt,LowestHeight,83688.4,42509.7,96.87,2.133
Lee_upsidedown,U061606_0430_001.txt,OriginalModel,51356.0,49200.8,4.38,9.964
Lee_upsidedown,U061606_0430_001.txt,ZeroShot,50673.0,49200.8,2.99,9.802
Lee_upsidedown,U061606_0430_001.txt,Lin2015,63516.1,49200.8,29.1,8.815
Lee_upsidedown,U061606_0430_001.txt,Kim2016,77403.7,49200.8,57.32,6.954
Lee_upsidedown,U061606_0430_001.txt,Leveling,55728.8,49200.8,13.27,11.43
Lee_upsidedown,U061606_0430_001.txt,Durasevic2025,80935.7,49200.8,64.5,8.442
Lee_upsidedown,U061606_0430_001.txt,NearestStack,88456.1,49200.8,79.79,2.483
Lee_upsidedown,U061606_0430_001.txt,LowestHeight,90300.6,49200.8,83.53,2.189
Lee_upsidedown,U061606_0430_002.txt,OriginalModel,51743.2,49392.4,4.76,10.362
Lee_upsidedown,U061606_0430_002.txt,ZeroShot,51369.1,49392.4,4.0,15.139
Lee_upsidedown,U061606_0430_002.txt,Lin2015,63736.9,49392.4,29.04,13.854
Lee_upsidedown,U061606_0430_002.txt,Kim2016,79821.3,49392.4,61.61,7.922
Lee_upsidedown,U061606_0430_002.txt,Leveling,56644.0,49392.4,14.68,13.285
Lee_upsidedown,U061606_0430_002.txt,Durasevic2025,82509.4,49392.4,67.05,9.839
Lee_upsidedown,U061606_0430_002.txt,NearestStack,95071.0,49392.4,92.48,3.727
Lee_upsidedown,U061606_0430_002.txt,LowestHeight,94156.5,49392.4,90.63,2.472
Lee_upsidedown,U061608_0570_001.txt,OriginalModel,70799.0,66255.8,6.86,18.976
Lee_upsidedown,U061608_0570_001.txt,ZeroShot,70735.6,66255.8,6.76,20.507
Lee_upsidedown,U061608_0570_001.txt,Lin2015,86695.6,66255.8,30.85,12.402
Lee_upsidedown,U061608_0570_001.txt,Kim2016,110879.1,66255.8,67.35,10.237
Lee_upsidedown,U061608_0570_001.txt,Leveling,79749.8,66255.8,20.37,14.476
Lee_upsidedown,U061608_0570_001.txt,Durasevic2025,113224.6,66255.8,70.89,5.696
Lee_upsidedown,U061608_0570_001.txt,NearestStack,139181.9,66255.8,110.07,2.029
Lee_upsidedown,U061608_0570_001.txt,LowestHeight,130079.2,66255.8,96.33,1.492
Lee_upsidedown,U061608_0570_002.txt,OriginalModel,71193.2,66732.8,6.68,14.427
Lee_upsidedown,U061608_0570_002.txt,ZeroShot,70990.2,66732.8,6.38,14.394
Lee_upsidedown,U061608_0570_002.txt,Lin2015,84877.9,66732.8,27.19,11.698
Lee_upsidedown,U061608_0570_002.txt,Kim2016,113995.8,66732.8,70.82,12.49
Lee_upsidedown,U061608_0570_002.txt,Leveling,81975.2,66732.8,22.84,18.592
Lee_upsidedown,U061608_0570_002.txt,Durasevic2025,112843.1,66732.8,69.1,12.425
Lee_upsidedown,U061608_0570_002.txt,NearestStack,142570.4,66732.8,113.64,4.424
Lee_upsidedown,U061608_0570_002.txt,LowestHeight,132691.3,66732.8,98.84,3.34
Lee_upsidedown,U081606_0570_001.txt,OriginalModel,70587.7,68488.9,3.06,13.839
Lee_upsidedown,U081606_0570_001.txt,ZeroShot,69816.7,68488.9,1.94,14.058
Lee_upsidedown,U081606_0570_001.txt,Lin2015,87493.9,68488.9,27.75,12.679
Lee_upsidedown,U081606_0570_001.txt,Kim2016,110930.4,68488.9,61.97,11.934
Lee_upsidedown,U081606_0570_001.txt,Leveling,76982.5,68488.9,12.4,18.579
Lee_upsidedown,U081606_0570_001.txt,Durasevic2025,112490.9,68488.9,64.25,14.112
Lee_upsidedown,U081606_0570_001.txt,NearestStack,124201.2,68488.9,81.35,3.615
Lee_upsidedown,U081606_0570_001.txt,LowestHeight,127389.7,68488.9,86.0,3.125
Lee_upsidedown,U081606_0570_002.txt,OriginalModel,68478.6,66918.6,2.33,18.99
Lee_upsidedown,U081606_0570_002.txt,ZeroShot,68223.5,66918.6,1.95,20.626
